0 70 1.000000
10000 52 0.985133
20000 43 0.970487
30000 44 0.956059
40000 50 0.941845
50000 43 0.927842
60000 37 0.914048
70000 38 0.900459
80000 40 0.887072
90000 32 0.873884
100000 35 0.860892
110000 37 0.848093
120000 45 0.835484
130000 35 0.823063
140000 46 0.810826
150000 43 0.798772
160000 31 0.786896
170000 41 0.775198
180000 36 0.763673
190000 41 0.752319
200000 35 0.741134
210000 34 0.730116
220000 37 0.719261
230000 38 0.708568
240000 35 0.698034
250000 47 0.687656
260000 34 0.677433
270000 28 0.667361
280000 34 0.657440
290000 29 0.647665
300000 30 0.638036
310000 33 0.628551
320000 32 0.619206
330000 24 0.610000
340000 22 0.600931
350000 17 0.591997
359728 0 0.583196
